FESTIVAL,YEAR,AWARD,FILM
BIFF,2020,Cinema Extraordinaire,THE TROUBLE WITH BEING BORN
BIFF,2020,Documentaire Extraordinaire,THE WALL OF SHADOWS
BIFF,2020,Checkpoints, WELCOME TO CHECHNYA
BIFF,2020,Gulluglen,LOST IN FACE
BIFF,2020,Beste Norske Dokumentar,ODELSGUT OG FANTEFØLGE
BIFF,2020,Ungdommens Dokumentarpris, VINDEN SNUR
BIFF,2020,Beste Norske Kortfilm,PAPAPA
BIFF,2020,Beste Kortreiste Kortfilm,HIJACK139
BIFF,2020,Beste Norske Kortdokumentar,GREETINGS FROM MYANMAR
BIFF,2020,Beste Norske Musikkvideo,THEY CAN'T STOP YOU
BIFF,2021,Cinema Extraordinaire,SUNDOWN
BIFF,2021,Documentaire Extraordinaire,ASCENSION
BIFF,2021,Documentaire Extraordinaire - Hederlig omtale,WHITE CUBE
BIFF,2021,Checkpoints,WRITING WITH FIRE
BIFF,2021,Gulluglen,THE HUNT FOR PLANET B
BIFF,2021,Beste norske dokumentar,SOMMERBARNA
BIFF,2021,Propaganda Nights,THE DIVIDE
BIFF,2021,Propaganda Nights - Hederlig omtale,MONEYBOYS
BIFF,2021,Himmel & hav,LEGACY
BIFF,2021,Beste norske kortfilm,STIKK
BIFF,2021,Beste norske kortfilm - Hederlig omtale,BEVISBYRDEN
BIFF,2021,Beste norske kortdokumentar,SKOLEN VED HAVET
BIFF,2021,Beste norske kortdokumentar - Hederlig omtale,FORTELLINGER FRA DUSJEN
BIFF,2021,Beste kortreiste kortfilm,HOLD MEG
BIFF,2021,Beste kortreiste kortfilm - Hederlig omtale,ENGEL/DEMON
BIFF,2021,Beste kortreiste kortdokumentar,VIEW
BIFF,2021,Ungdommens dokumentarfilmpris,FACELESS
BIFF,2021,Beste norske musikkvideo,CRUMBS
BIFF,2022,Cinema Extraordinaire,THE FIVE DEVILS
BIFF,2022,Documentaire Extraordinaire,CROWS ARE WHITE
BIFF,2022,Documentaire Extraordinaire - Hederlig omtale,TSUMU – WHERE DO YOU GO WITH YOUR DREAMS
BIFF,2022,Checkpoints,THE KILLING OF A JOURNALIST
BIFF,2022,Checkpoints - Hederlig omtale,CHILDREN OF THE MIST
BIFF,2022,Gulluglen,FRAMING AGNES
BIFF,2022,Gulluglen - Hederlig omtale,CARBON – THE UNAUTHORISED BIOGRAPHY
BIFF,2022,Beste norske dokumentar,HIDDEN LETTERS
BIFF,2022,Beste norske dokumentar - Hederlig omtale,IKKE EN SÅNN FYR
BIFF,2022,Propaganda Nights,BOYLESQUE
BIFF,2022,Himmel & hav,THE TERRITORY
BIFF,2022,Himmel & hav - Hederlig omtale,FASHION REIMAGINED
BIFF,2022,Beste norske kortfilm,PORTØR
BIFF,2022,Beste norske kortdokumentar,WHEREVER I LOOK
BIFF,2022,Beste kort fra vest,TILBAKELAGT LIV
BIFF,2022,Ungdommens dokumentarfilmpris,THE TERRITORY
BIFF,2022,Beste norske musikkvideo,GOLDEN
BIFF,2023,Beste kort fra vest,ØYEBLIKK
BIFF,2023,Beste norske kortfilm,GRILL
BIFF,2023,Beste norske kortfilm - Hederlig omtale,VOLD
BIFF,2023,Beste norske kortdokumentar,SISTE KAPITTEL
BIFF,2023,Beste norske dokumentar,MAMMAEN I MEG
BIFF,2023,Beste norske dokumentar - Hederlig omtale,BARN AV STJERNER
BIFF,2023,Gulluglen,EL EQUIPO
BIFF,2023,Checkpoints,NAME ME LAWAND
BIFF,2023,Ungdommens dokumentarfilmpris,NAME ME LAWAND
BIFF,2023,Documentaire Extraordinaire,THE MOTHER OF ALL LIES
BIFF,2023,Documentaire Extraordinaire - Hederlig omtale,MILISUTHANDO
BIFF,2023,Cinema Extraordinaire,ALL DIRT ROADS TASTE OF SALT
BIFF,2023,Beste norske musikkvideo,BLUR
BIFF,2023,Beste norske musikkvideo - Hederlig omtale,Tåmy Tåmy
BIFF,2024,Cinema Extraordinaire,ON BECOMING A GUINEA FOWL
BIFF,2024,Documentaire Extraordinaire,SOUNDTRACK TO A COUP D'ETAT
BIFF,2024,Documentaire Extraordinaire - Hederlig omtale,MOTHERBOARD
BIFF,2024,Gulluglen,ARCHIVE OF THE FUTURE
BIFF,2024,Checkpoints,THE SKY ABOVE ZENICA
BIFF,2024,Beste norske dokumentar,PET FARM
BIFF,2024,Beste norske dokumentar - Hederlig omtale,AN ARMY OF WOMEN
BIFF,2024,Beste norske dokumentar - Hederlig omtale,STRAFF
BIFF,2024,Beste norske kortfilm,VELKOMMEN HJEM
BIFF,2024,Beste norske kortfilm - Hederlig omtale,HUN HETER IDA
BIFF,2024,Beste norske kortdokumentar,BEHIND THE MASK
BIFF,2024,Beste norske kortdokumentar - Hederlig omtale,LYDEN AV EN DER DET EN GANG VAR TO
BIFF,2024,Beste norske kortdokumentar - Hederlig omtale,FIREFIGHTER GOATS
BIFF,2024,Talent fra Vest,OVER INGENSTAD VENTAR EG
BIFF,2024,Ungdommens dokumentarfilmpris,IGUALADA
BIFF,2024,Beste norske musikkvideo,AVANTI
BIFF,2024,Beste norske musikkvideo - Hederlig omtale,FORT SOM FAEN
,,,
Venezia,2020,Golden Lion - Best Film,NOMADLAND
Venezia,2020,Silver Lion - Grand Jury Prize,NUEVO ORDEN (NEW ORDER)
Venezia,2020,Silver Lion - Best Director,SPY NO TSUMA (WIFE OF A SPY)
Venezia,2020,Special Jury Prize,DOROGIE TOVARISCHI! (DEAR COMRADES!)
Venezia,2020,Award for Best Screenplay,THE DISCIPLE
Venezia,2020,Coppa Volpi - Best Actress,PIECES OF A WOMAN
Venezia,2020,Coppa Volpi - Best Actor,PADRENOSTRO
Venezia,2020,Marcello Mastroianni Award - Best Young Actor/Actress,KHORSHID (SUN CHILDREN)
Venezia,2020,Orizzonti - Best Film,DASHTE KHAMOUSH (THE WASTELAND)
Venezia,2020,Orizzonti - Best Director,"LAHI, HAYOP (GENUS PAN)"
Venezia,2020,Orizzonti - Special Jury Prize,LISTEN
Venezia,2020,Orizzonti - Best Screenplay,I PREDATORI
Venezia,2020,Orizzonti - Best Actress,ZANKA CONTACT
Venezia,2020,Orizzonti - Best Actor,THE MAN WHO SOLD HIS SKIN
Venezia,2020,Orizzonti - Best Short Film,ENTRE TÚ Y MILAGROS
Venezia,2020,Venice Short Film Nomination for European Film Awards,THE SHIFT
Venezia,2020,Lion of the Future - Luigi De Laurentiis Award,LISTEN
Venezia,2021,Golden Lion - Best Film,L'ÉVÉNEMENT (HAPPENING)
Venezia,2021,Silver Lion - Grand Jury Prize,È STATA LA MANO DI DIO (THE HAND OF GOD)
Venezia,2021,Silver Lion - Best Director,THE POWER OF THE DOG
Venezia,2021,Coppa Volpi - Best Actress,MADRES PARALELAS (PARALLEL MOTHERS)
Venezia,2021,Coppa Volpi - Best Actor,ON THE JOB: THE MISSING 8
Venezia,2021,Award for Best Screenplay,THE LOST DAUGHTER
Venezia,2021,Special Jury Prize,IL BUCO
Venezia,2021,Marcello Mastroianni Award - Best Young Actor/Actress,È STATA LA MANO DI DIO (THE HAND OF GOD)
Venezia,2021,Orizzonti - Best Film,PILIGRIMAI (PILGRIMS)
Venezia,2021,Orizzonti - Best Director,À PLEIN TEMPS (FULL TIME)
Venezia,2021,Orizzonti - Special Jury Prize,EL GRAN MOVIMIENTO
Venezia,2021,Orizzonti - Best Actress,À PLEIN TEMPS (FULL TIME)
Venezia,2021,Orizzonti - Best Actor,BODENG SAR (WHITE BUILDING)
Venezia,2021,Orizzonti - Best Screenplay,CENZORKA (107 MOTHERS)
Venezia,2021,Orizzonti - Best Short Film,LOS HUESOS (THE BONES)
Venezia,2021,Venice Short Film Nomination for European Film Awards,FALL OF THE IBIS KING
Venezia,2021,Lion of the Future - Luigi De Laurentiis Award,IMACULAT
Venezia,2021,Orizzonti Extra - Armany Beauty Audience Award,"SOKEA MIES, JOKA EI HALUNNUT NÄHDÄ TITANICIA (THE BLIND MAN WHO DID NOT WANT TO SEE TITANIC)"
Venezia,2022,Golden Lion - Best Film,ALL THE BEAUTY AND THE BLOODSHED
Venezia,2022,Silver Lion - Grand Jury Prize,SAINT OMER
Venezia,2022,Silver Lion - Best Director,BONES AND ALL
Venezia,2022,Coppa Volpi - Best Actress,TÁR
Venezia,2022,Coppa Volpi - Best Actor,THE BANSHEES OF INISHERIN
Venezia,2022,Award for Best Screenplay,THE BANSHEES OF INISHERIN
Venezia,2022,Special Jury Prize,KHERS NIST (NO BEARS)
Venezia,2022,Marcello Mastroianni Award - Best Young Actor/Actress,BONES AND ALL
Venezia,2022,Orizzonti - Best Film,JANG-E JAHANI SEVOM (WORLD WAR III)
Venezia,2022,Orizzonti - Best Director,VERA
Venezia,2022,Orizzonti - Special Jury Prize,CHLEB I SÓL (BREAD AND SALT)
Venezia,2022,Orizzonti - Best Actress,VERA
Venezia,2022,Orizzonti - Best Actor,JANG-E JAHANI SEVOM (WORLD WAR III)
Venezia,2022,Orizzonti - Best Screenplay,BLANQUITA
Venezia,2022,Orizzonti - Best Short Film,SNOW IN SEPTEMBER
Venezia,2022,Venice Short Film Nomination for European Film Awards,SNOW IN SEPTEMBER
Venezia,2022,Orizzonti Extra - Armani Beauty Audience Award,NEZOUH
Venezia,2022,Lion of the Future - Luigi De Laurentiis Award,SAINT OMER
Venezia,2022,Venice Classics - Best Documentary on Cinema,FRAGMENTS OF PARADISE
Venezia,2022,Venice Classics - Best Restored Film,KOROSHI NO RAKUIN (BRANDED TO KILL)
Venezia,2023,Golden Lion - Best Film,POOR THINGS
Venezia,2023,Silver Lion - Grand Jury Prize,AKU WA SONZAI SHINAI (EVIL DOES NOT EXIST)
Venezia,2023,Silver Lion - Best Director,IO CAPITANO
Venezia,2023,Coppa Volpi - Best Actress,PRISCILLA
Venezia,2023,Coppa Volpi - Best Actor,MEMORY
Venezia,2023,Award for Best Screenplay,EL CONDE
Venezia,2023,Special Jury Prize,ZIELONA GRANICA (GREEN BORDER)
Venezia,2023,Marcello Mastroianni Award - Best Young Actor,IO CAPITANO
Venezia,2023,Orizzonti - Best Film,MAGYARÁZAT MINDENRE (EXPLANATION FOR EVERYTHING)
Venezia,2023,Orizzonti - Best Director,PARADISET BRINNER (PARADISE IS BURNING)
Venezia,2023,Orizzonti - Special Jury Prize,UNA STERMINATA DOMENICA (AN ENDLESS SUNDAY)
Venezia,2023,Orizzonti - Best Actress,EL PARAÍSO
Venezia,2023,Orizzonti - Best Actor,SER SER SALHI (CITY OF WIND)
Venezia,2023,Orizzonti - Best Screenplay,EL PARAÍSO
Venezia,2023,Orizzonti - Best Short Film,A SHORT TRIP
Venezia,2023,Venice Short Film Nomination for European Film Awards,A SHORT TRIP
Venezia,2023,Orizzonti Extra - Armani Beauty Audience Award,FELICITÀ (HAPPINESS)
Venezia,2023,Lion of the Future - Luigi De Laurentiis Award,AI SHI YI BA QIANG (LOVE IS A GUN)
Venezia,2023,Venice Classics - Best Documentary on Cinema,THANK YOU VERY MUCH
Venezia,2023,Venice Classics - Best Restored Film,OHIKKOSHI (MOVING)
Venezia,2024,Golden Lion - Best Film,THE ROOM NEXT DOOR
Venezia,2024,Silver Lion - Grand Jury Prize,VERMIGLIO
Venezia,2024,Silver Lion - Best Director,THE BRUTALIST
Venezia,2024,Coppa Volpi - Best Actress,BABYGIRL
Venezia,2024,Coppa Volpi - Best Actor,JOUER AVEC LE FEU
Venezia,2024,Award for Best Screenplay,AINDA ESTOU AQUI
Venezia,2024,Special Jury Prize,APRIL
Venezia,2024,Marcello Mastroianni Award - Best Young Actor/Actress,LEURS ENFANTS APRÈS EUX
Venezia,2024,Orizzonti - Best Film,ANUL NOU CARE N-A FOST (THE NEW YEAR THAT NEVER CAME)
Venezia,2024,Orizzonti - Best Director,FAMILIAR TOUCH
Venezia,2024,Orizzonti - Special Jury Prize,HEMME'NIN ÖLDÜĞÜ GÜNLERDEN BIRI (ONE OF THOSE DAYS WHEN HEMME DIES)
Venezia,2024,Orizzonti - Best Actress,FAMILIAR TOUCH
Venezia,2024,Orizzonti - Best Actor,FAMILIA
Venezia,2024,Orizzonti - Best Screenplay,HAPPY HOLIDAYS
Venezia,2024,Orizzonti - Best Short Film,WHO LOVES THE SUN
Venezia,2024,Venice Short Film Nomination for European Film Awards,RENÉ VA ALLA GUERRA
Venezia,2024,Orizzonti Extra - Armani Beauty Audience Award,SHAHED (THE WITNESS)
Venezia,2024,Lion of the Future - Luigi De Laurentiis Award,FAMILIAR TOUCH
Venezia,2024,Venice Classics - Best Documentary on Cinema,CHAIN REACTIONS
Venezia,2024,Venice Classics - Best Restored Film,ECCE BOMBO
Venezia,2025,Golden Lion - Best Film,FATHER MOTHER SISTER BROTHER
Venezia,2025,Silver Lion - Grand Jury Prize,THE VOICE OF HIND RAJAB
Venezia,2025,Silver Lion - Best Director,THE SMASHING MACHINE
Venezia,2025,Coppa Volpi - Best Actress,RI GUA ZHONG TIAN (THE SUN RISES ON US ALL)
Venezia,2025,Coppa Volpi - Best Actor,LA GRAZIA
Venezia,2025,Award for Best Screenplay,À PIED D'ŒUVRE (AT WORK)
Venezia,2025,Special Jury Prize,SOTTO LE NUVOLE (BELOW THE CLOUDS)
Venezia,2025,Marcello Mastroianni Award - Best Young Actor/Actress,SILENT FRIEND
Venezia,2025,Orizzonti - Best Film,EN EL CAMINO (ON THE ROAD)
Venezia,2025,Orizzonti - Best Director,SONGS OF FORGOTTEN TREES
Venezia,2025,Orizzonti - Special Jury Prize,HARÀ WATAN (LOST LAND)
Venezia,2025,Orizzonti - Best Actress,IL RAPIMENTO DI ARABELLA
Venezia,2025,Orizzonti - Best Actor,UN ANNO DI SCUOLA (A YEAR OF SCHOOL)
Venezia,2025,Orizzonti - Best Screenplay,HIEDRA (THE IVY)
Venezia,2025,Orizzonti - Best Short Film,UTAN KELLY (WITHOUT KELLY)
Venezia,2025,Lion of the Future - Luigi De Laurentiis Award,SHORT SUMMER
Venezia,2025,Venezia Spotlight - Armani Beauty Audience Award,CALLE MÁLAGA
Venezia,2025,Venice Classics - Best Documentary on Cinema,MATA HARI
Venezia,2025,Venice Classics - Best Restored Film,"BASHU, GHARIBEYE KOOCHAK (BASHU, THE LITTLE STRANGER)"
,,,
Berlinale,2020,Golden Bear - Best Film,THERE IS NO EVIL
Berlinale,2020,Silver Bear - Grand Jury Prize,NEVER RARELY SOMETIMES ALWAYS
Berlinale,2020,Silver Bear - Best Director,THE WOMAN WHO RAN
Berlinale,2020,Silver Bear - Best Actress,UNDINE
Berlinale,2020,Silver Bear - Best Actor,HIDDEN AWAY
Berlinale,2020,Silver Bear - Best Screenplay,BAD TALES
Berlinale,2020,Silver Bear - Outstanding Artistic Contribution,DAU. NATASHA
Berlinale,2020,Silver Bear - 70th Berlinale,DELETE HISTORY
Berlinale,2021,Golden Bear - Best Film,BAD LUCK BANGING OR LOONY PORN
Berlinale,2021,Silver Bear - Grand Jury Prize,WHEEL OF FORTUNE AND FANTASY
Berlinale,2021,Silver Bear - Jury Prize,MR. BACHMANN AND HIS CLASS
Berlinale,2021,Silver Bear - Best Director,NATURAL LIGHT
Berlinale,2021,Silver Bear - Best Leading Performance,I'M YOUR MAN
Berlinale,2021,Silver Bear - Best Supporting Performance,FOREST - I SEE YOU EVERYWHERE
Berlinale,2021,Silver Bear - Best Screenplay,INTRODUCTION
Berlinale,2021,Silver Bear - Outstanding Artistic Contribution,A COP MOVIE
Berlinale,2022,Golden Bear - Best Film,ALCARRÀS
Berlinale,2022,Silver Bear - Grand Jury Prize,THE NOVELIST'S FILM
Berlinale,2022,Silver Bear - Jury Prize,ROBE OF GEMS
Berlinale,2022,Silver Bear - Best Director,BOTH SIDES OF THE BLADE
Berlinale,2022,Silver Bear - Best Leading Performance,RABIYE KURNAZ VS. GEORGE W. BUSH
Berlinale,2022,Silver Bear - Best Supporting Performance,"BEFORE, NOW & THEN"
Berlinale,2022,Silver Bear - Best Screenplay,RABIYE KURNAZ VS. GEORGE W. BUSH
Berlinale,2022,Silver Bear - Outstanding Artistic Contribution,EVERYTHING WILL BE OK
Berlinale,2022,Special Mention,A PIECE OF SKY
Berlinale,2023,Golden Bear - Best Film,ON THE ADAMANT
Berlinale,2023,Silver Bear - Grand Jury Prize,AFIRE
Berlinale,2023,Silver Bear - Jury Prize,BAD LIVING
Berlinale,2023,Silver Bear - Best Director,THE PLOUGH
Berlinale,2023,Silver Bear - Best Leading Performance,"20,000 SPECIES OF BEES"
Berlinale,2023,Silver Bear - Best Supporting Performance,TILL THE END OF THE NIGHT
Berlinale,2023,Silver Bear - Best Screenplay,MUSIC
Berlinale,2023,Silver Bear - Outstanding Artistic Contribution,DISCO BOY
Berlinale,2024,Golden Bear - Best Film,DAHOMEY
Berlinale,2024,Silver Bear - Grand Jury Prize,A TRAVELER'S NEEDS
Berlinale,2024,Silver Bear - Jury Prize,THE EMPIRE
Berlinale,2024,Silver Bear - Best Director,PEPE
Berlinale,2024,Silver Bear - Best Leading Performance,A DIFFERENT MAN
Berlinale,2024,Silver Bear - Best Supporting Performance,SMALL THINGS LIKE THESE
Berlinale,2024,Silver Bear - Best Screenplay,DYING
Berlinale,2024,Silver Bear - Outstanding Artistic Contribution,THE DEVIL'S BATH
Berlinale,2025,Golden Bear - Best Film,DREAMS (SEX LOVE)
Berlinale,2025,Silver Bear - Grand Jury Prize,THE BLUE TRAIL
Berlinale,2025,Silver Bear - Jury Prize,THE MESSAGE
Berlinale,2025,Silver Bear - Best Director,LIVING THE LAND
Berlinale,2025,Silver Bear - Best Leading Performance,IF I HAD LEGS I'D KICK YOU
Berlinale,2025,Silver Bear - Best Supporting Performance,BLUE MOON
Berlinale,2025,Silver Bear - Best Screenplay,KONTINENTAL '25
Berlinale,2025,Silver Bear - Outstanding Artistic Contribution,THE ICE TOWER
,,,
Cannes,2021,Palme d'Or,TITANE
Cannes,2021,Grand Prix,A HERO
Cannes,2021,Grand Prix,COMPARTMENT NO. 6
Cannes,2021,Best Director,ANNETTE
Cannes,2021,Best Actress,THE WORST PERSON IN THE WORLD
Cannes,2021,Best Actor,NITRAM
Cannes,2021,Best Screenplay,DRIVE MY CAR
Cannes,2021,Jury Prize,AHED'S KNEE
Cannes,2021,Jury Prize,MEMORIA
Cannes,2022,Palme d'Or,TRIANGLE OF SADNESS
Cannes,2022,Grand Prix,CLOSE
Cannes,2022,Grand Prix,STARS AT NOON
Cannes,2022,Best Director,DECISION TO LEAVE
Cannes,2022,Best Actress,HOLY SPIDER
Cannes,2022,Best Actor,BROKER
Cannes,2022,Best Screenplay,BOY FROM HEAVEN
Cannes,2022,Jury Prize,EO
Cannes,2022,Jury Prize,THE EIGHT MOUNTAINS
Cannes,2022,75th Anniversary Prize,TORI AND LOKITA
Cannes,2023,Palme d'Or,ANATOMY OF A FALL
Cannes,2023,Grand Prix,THE ZONE OF INTEREST
Cannes,2023,Jury Prize,FALLEN LEAVES
Cannes,2023,Best Director,THE TASTE OF THINGS
Cannes,2023,Best Actress,ABOUT DRY GRASSES
Cannes,2023,Best Actor,PERFECT DAYS
Cannes,2023,Best Screenplay,MONSTER
Cannes,2024,Palme d'Or,ANORA
Cannes,2024,Grand Prix,ALL WE IMAGINE AS LIGHT
Cannes,2024,Jury Prize,EMILIA PÉREZ
Cannes,2024,Best Director,GRAND TOUR
Cannes,2024,Best Actress,EMILIA PÉREZ
Cannes,2024,Best Actor,KINDS OF KINDNESS
Cannes,2024,Best Screenplay,THE SUBSTANCE
Cannes,2024,Prix Spécial,THE SEED OF THE SACRED FIG
Cannes,2025,Palme d'Or,IT WAS JUST AN ACCIDENT
Cannes,2025,Grand Prix,SENTIMENTAL VALUE
Cannes,2025,Jury Prize,SIRĀT
Cannes,2025,Jury Prize,SOUND OF FALLING
Cannes,2025,Best Director,THE SECRET AGENT
Cannes,2025,Best Actress,THE LITTLE SISTER
Cannes,2025,Best Actor,THE SECRET AGENT
Cannes,2025,Best Screenplay,YOUNG MOTHERS
Cannes,2025,Prix Spécial,RESURRECTION