title,year,festival_link,mubi_link,justwatch_link,fallback_link
100 liters of gold,2025,https://www.filmfestivalen.no/f/100-liters-of-gold/1076,https://mubi.com/en/no/films/100-litres-of-gold,,
A Light That Never Goes Out,2025,https://www.filmfestivalen.no/f/a-light-that-never-goes-out/1104,https://mubi.com/en/no/films/a-light-that-never-goes-out,,
A Private Life,2025,https://www.filmfestivalen.no/f/a-private-life/1093,https://mubi.com/en/no/films/vie-privee,,
Adam's Sake,2025,https://www.filmfestivalen.no/f/adams-sake/1089,https://mubi.com/en/us/films/in-adam-s-interest,,
Alpha,2025,https://www.filmfestivalen.no/f/alpha/1094,https://mubi.com/en/no/films/alpha,,
Alt skal bort,2025,https://www.filmfestivalen.no/f/alt-skal-bort/1040,,,
Armand,2025,https://www.filmfestivalen.no/f/armand/1116,https://mubi.com/en/no/films/armand,,
Astro TV,2025,https://www.filmfestivalen.no/f/astro-tv/1053,https://mubi.com/en/no/films/astro-tv,,
Balconettes,2025,https://www.filmfestivalen.no/f/balconettes/1080,https://mubi.com/en/no/films/the-balconettes,,
Bare et uhell,2025,https://www.filmfestivalen.no/f/bare-et-uhell/1063,,,
Begyndelser,2025,https://www.filmfestivalen.no/f/begyndelser/1077,,,
Bl�time,2025,https://www.filmfestivalen.no/f/blatime/1049,,,
Blücher,2025,https://www.filmfestivalen.no/f/blucher/1039,,,
The Brutalist,2025,https://www.filmfestivalen.no/f/the-brutalist/1086,https://mubi.com/en/no/films/the-brutalist,,
Christy,2025,https://www.filmfestivalen.no/f/christy/1081,https://mubi.com/en/no/films/christy-2025,,
DJ Ahmet,2025,https://www.filmfestivalen.no/f/dj-ahmet/1090,,,
Dream Daddy,2025,https://www.filmfestivalen.no/f/dream-daddy/1051,https://mubi.com/en/no/films/dream-daddy,,
Drømmer,2025,https://www.filmfestivalen.no/f/drommer/1115,,,
E.1027: Eileen Gray and the House by the Sea,2025,https://www.filmfestivalen.no/f/e1027-eileen-gray-and-the-house-by-the-sea/1084,,,
Eagles of the Republic,2025,https://www.filmfestivalen.no/f/eagles-of-the-republic/1083,https://mubi.com/en/no/films/eagles-of-the-republic,,
Elskling,2025,https://www.filmfestivalen.no/f/elskling/922,,,
Et hus i Portugal,2025,https://www.filmfestivalen.no/f/et-hus-i-portugal/1074,,,
F�r m�rket,2025,https://www.filmfestivalen.no/f/for-morket/1118,,,
Gaucho Gaucho - En reise til Argentinas skjulte verden,2025,https://www.filmfestivalen.no/f/gaucho-gaucho-en-reise-til-argentinas-skjulte-verden/1092,,,
The Great Arch,2025,https://www.filmfestivalen.no/f/the-great-arch/1120,,,
The Great Lillian Hall,2025,https://www.filmfestivalen.no/f/the-great-lillian-hall/1088,https://mubi.com/en/no/films/the-great-lillian-hall,,
Grevlingene,2025,https://www.filmfestivalen.no/f/grevlingene/1036,,,
Hacking Hate,2025,https://www.filmfestivalen.no/f/hacking-hate/1129,,,
Hei Frida,2025,https://www.filmfestivalen.no/f/hei-frida/1103,,,
Henden �  rekviem for en fotograf,2025,https://www.filmfestivalen.no/f/henden-rekviem-for-en-fotograf/1098,,,
Homage to Leo the Lion,2025,https://www.filmfestivalen.no/f/homage-to-leo-the-lion/1128,,,
Honey,2025,https://www.filmfestivalen.no/f/honey/1079,,,
I huvudet p� Bo,2025,https://www.filmfestivalen.no/f/i-huvudet-pa-bo/1078,,,
In the Nguyen kitchen,2025,https://www.filmfestivalen.no/f/in-the-nguyen-kitchen/1075,,,
Kanskje det var elefanter,2025,https://www.filmfestivalen.no/f/kanskje-det-var-elefanter/1044,,,
Kattriket,2025,https://www.filmfestivalen.no/f/kattriket/1123,,,
Kevlarsjel,2025,https://www.filmfestivalen.no/f/kevlarsjel/1125,,,
KICK-OFF,2025,https://www.filmfestivalen.no/f/kick-off/993,,,
Kjærlighetens mange stemmer,2025,https://www.filmfestivalen.no/f/kjarlighetens-mange-stemmer/1071,,,
Kneecap,2025,https://www.filmfestivalen.no/f/kneecap/1126,https://mubi.com/en/no/films/kneecap,,
Köln 75,2025,https://www.filmfestivalen.no/f/koln-75/1068,,,
Leave One Day,2025,https://www.filmfestivalen.no/f/leave-one-day/1087,,,
Leve stort,2025,https://www.filmfestivalen.no/f/leve-stort/1112,,,
The Life of Chuck,2025,https://www.filmfestivalen.no/f/the-life-of-chuck/1065,https://mubi.com/en/no/films/the-life-of-chuck,,
The Lightning Rod,2025,https://www.filmfestivalen.no/f/the-lightning-rod/1055,,,
Lioness,2025,https://www.filmfestivalen.no/f/lioness/1131,,,
Lukten av menneske,2025,https://www.filmfestivalen.no/f/lukten-av-menneske/1043,,,
Løvene ved elven Tigris,2025,https://www.filmfestivalen.no/f/lovene-ved-elven-tigris/1041,,,
Memoir of a Snail,2025,https://www.filmfestivalen.no/f/memoir-of-a-snail/1050,https://mubi.com/en/no/films/memoir-of-a-snail,,
Meteors,2025,https://www.filmfestivalen.no/f/meteors/1099,,,
My Name is Hope,2025,https://www.filmfestivalen.no/f/my-name-is-hope/1054,,,
Myra,2025,https://www.filmfestivalen.no/f/myra/1056,,,
Next Nordic Generation - Del 1,2025,https://www.filmfestivalen.no/f/next-nordic-generation-del-1/1135,,,
Next Nordic Generation - Del 2,2025,https://www.filmfestivalen.no/f/next-nordic-generation-del-2/1136,,,
Min evige sommer,2025,https://www.filmfestivalen.no/f/nordisk-rads-filmpris-dansk-nominert-min-evige-sommer/1107,,,
The Helsinki Effect,2025,https://www.filmfestivalen.no/f/nordisk-rads-filmpris-finsk-nominert-the-helsinki-effect/1108,,,
Walls - Akinni Inuk,2025,https://www.filmfestivalen.no/f/nordisk-rads-filmpris-gronlandsk-nominert-walls-akinni-inuk/1110,,,
Ljosbrot,2025,https://www.filmfestivalen.no/f/nordisk-rads-filmpris-islandsk-nominert-ljosbrot/1109,,,
Israel Palestine on Swedish TV 1958-1989,2025,https://www.filmfestivalen.no/f/nordisk-rads-filmpris-svensk-nominert-israel-palestine-on-swedish-tv-1958-1989/1106,,,
Nouvelle Vague,2025,https://www.filmfestivalen.no/f/nouvelle-vague/1062,https://mubi.com/en/no/films/nouvelle-vague,,
Odd Fish,2025,https://www.filmfestivalen.no/f/odd-fish/1037,,,
Orwell: 2+2=5,2025,https://www.filmfestivalen.no/f/orwell-225/1073,,,
Pannbiff Pommes Chicken Teriyaki,2025,https://www.filmfestivalen.no/f/pannbiff-pommes-chicken-teriyaki/1058,,,
The Party's Over,2025,https://www.filmfestivalen.no/f/the-partys-over/1100,https://mubi.com/en/no/films/the-party-s-over-2024,,
Portrett av en forvirret far,2025,https://www.filmfestivalen.no/f/portrett-av-en-forvirret-far/1047,,,
Poter på snø,2025,https://www.filmfestivalen.no/f/poter-pa-sno/1059,,,
Promised Sky,2025,https://www.filmfestivalen.no/f/promised-sky/1124,https://mubi.com/en/no/films/marie-jolie,,
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,2025,https://www.filmfestivalen.no/f/psycho-therapy-the-shallow-tale-of-a-writer-who-decided-to-write-about-a-serial-killer/1113,,,
Påfuglen,2025,https://www.filmfestivalen.no/f/pafuglen/1096,,,
Rebuilding,2025,https://www.filmfestivalen.no/f/rebuilding/1121,https://mubi.com/en/no/films/rebuilding-2025,,
Recast,2025,https://www.filmfestivalen.no/f/recast/1057,,,
Reedland,2025,https://www.filmfestivalen.no/f/reedland/1091,,,
Totto-chan: Den lille piken ved vinduet,2025,https://www.filmfestivalen.no/f/totto-chan-den-lille-piken-ved-vinduet/1072,https://mubi.com/en/us/films/totto-chan-the-little-girl-at-the-window,,
Tre fedre,2025,https://www.filmfestivalen.no/f/tre-fedre/1038,,,
Trolljegeren,2025,https://www.filmfestivalen.no/f/trolljegeren/1064,https://mubi.com/en/mx/films/the-troll-hunter,,
Under a Broken Wing,2025,https://www.filmfestivalen.no/f/under-a-broken-wing/1061,,,
Unge mødre,2025,https://www.filmfestivalen.no/f/unge-modre/1082,https://mubi.com/en/us/films/the-young-mothers-home,,
Verket,2025,https://www.filmfestivalen.no/f/verket/1048,,,
Welcome to the Moon,2025,https://www.filmfestivalen.no/f/welcome-to-the-moon/1097,,,